,Accuracy,Recall,F1,AUC
SVC,0.936046511627907,0.0,0.0,0.5934500282326369
KNN,0.9244186046511628,0.0,0.0,0.6259175607001694
Random Forest,0.936046511627907,0.09090909090909091,0.15384615384615385,0.6705251270468662
XGBoost,0.9069767441860465,0.09090909090909091,0.1111111111111111,0.6482213438735178
