,Accuracy,Recall,F1,AUC,PR-AUC,Best_Model
ExpA_EarlyOnly,0.843,0.2727,0.1818,0.7329,0.1692,Tuned_Hybrid_ALL4
ExpB_WithScreening,0.9593,0.8182,0.72,0.9689,0.6758,Tuned_Hybrid_RF+SVC
